10																																																	
35																																																	
50																																																	
2																																																	
0	1	2	3	4	5	6	7	8	9	0	3	2	7	4	1	2	7	6	2	8	9	6	9	0	7	8	2	3	2	6	7	5	6	3															
1	2	3	4	5	6	7	8	9	0	6	6	0	6	3	8	4	1	0	9	5	5	4	4	7	3	3	6	9	1	5	4	3	8	2															
100	100	100	100	100	100	100	100	100	100	92	58	55	32	90	44	97	25	63	12	58	24	97	25	83	47	84	41	93	93	60	79	27	76	47															
2640	2640	2640	2640	2640	2640	2640	2640	2640	2640	51	107	234	304	174	44	87	157	157	44	254	131	237	304	124	298	254	104	191	291	164	174	131	177	117															
2608	2608	2608	2608	2608	2608	2608	2608	2608	2608	1226	2086	1356	1669	757	365	2138	1122	2582	2034	1174	1747	1382	1434	1825	2269	600	1304	2295	1356	1148	1643	574	1330	1252															
4	3	9	0	4	8	2	2	5	8	0	3	9	6	2	5	7	4	3	9	6	9	7	6	2	1	7	1	4	2	6	3	5	5	1	5	4	8	3	9	7	0	0	4	3	8	0	1	6	7
6	0	8	1	0	6	7	9	2	0	2	4	6	5	6	7	9	2	7	7	3	3	6	4	4	7	1	5	8	5	0	8	0	8	3	4	7	1	6	4	4	3	6	3	2	3	9	0	1	5
71	32	78	40	53	80	57	72	57	73	36	22	93	95	27	37	33	94	19	59	17	91	53	73	55	71	92	32	46	69	27	36	37	13	71	15	48	71	96	30	63	75	13	76	83	24	26	10	27	72
2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505
2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505	2505
